<system_time>2026/04/10 21:03:10</system_time><time>00:00:00</time><avg_loss>0</avg_loss>
<system_time>2026/04/13 08:16:16</system_time><time>00:17:15</time><avg_loss>8.284740</avg_loss>
<system_time>2026/04/13 08:32:24</system_time><time>00:33:05</time><avg_loss>6.625258</avg_loss>
<system_time>2026/04/13 08:50:07</system_time><time>00:50:27</time><avg_loss>6.153621</avg_loss>
<system_time>2026/04/13 09:06:07</system_time><time>01:06:05</time><avg_loss>5.791262</avg_loss>
<system_time>2026/04/13 09:25:56</system_time><time>01:25:34</time><avg_loss>5.436201</avg_loss>
<system_time>2026/04/13 09:53:18</system_time><time>01:52:36</time><avg_loss>5.175530</avg_loss>
<system_time>2026/04/13 10:06:54</system_time><time>02:05:53</time><avg_loss>4.994878</avg_loss>
<system_time>2026/04/13 10:20:40</system_time><time>02:19:21</time><avg_loss>4.827011</avg_loss>
<system_time>2026/04/13 10:38:17</system_time><time>02:36:39</time><avg_loss>4.732334</avg_loss>
<system_time>2026/04/13 10:56:00</system_time><time>02:54:02</time><avg_loss>4.631122</avg_loss>
<system_time>2026/04/13 11:09:31</system_time><time>03:07:14</time><avg_loss>4.505473</avg_loss>
<system_time>2026/04/13 11:26:08</system_time><time>03:23:32</time><avg_loss>4.413680</avg_loss>
<system_time>2026/04/13 11:46:19</system_time><time>03:43:20</time><avg_loss>4.330231</avg_loss>
<system_time>2026/04/13 12:05:22</system_time><time>04:02:03</time><avg_loss>4.267171</avg_loss>
<system_time>2026/04/13 12:23:24</system_time><time>04:19:45</time><avg_loss>4.219284</avg_loss>
<system_time>2026/04/13 12:43:19</system_time><time>04:39:21</time><avg_loss>4.139351</avg_loss>
<system_time>2026/04/13 13:14:07</system_time><time>04:56:11</time><avg_loss>4.070322</avg_loss>
<system_time>2026/04/13 13:33:39</system_time><time>05:14:59</time><avg_loss>4.024324</avg_loss>
<system_time>2026/04/13 13:52:07</system_time><time>05:33:01</time><avg_loss>3.968715</avg_loss>
<system_time>2026/04/13 14:11:37</system_time><time>05:52:08</time><avg_loss>3.929216</avg_loss>
<system_time>2026/04/13 14:25:36</system_time><time>06:05:46</time><avg_loss>3.881650</avg_loss>
<system_time>2026/04/13 14:40:39</system_time><time>06:20:29</time><avg_loss>3.893051</avg_loss>
<system_time>2026/04/13 14:56:56</system_time><time>06:36:25</time><avg_loss>3.844289</avg_loss>
<system_time>2026/04/13 15:16:38</system_time><time>06:55:44</time><avg_loss>3.781903</avg_loss>
<system_time>2026/04/13 15:37:15</system_time><time>07:15:57</time><avg_loss>3.802352</avg_loss>
<system_time>2026/04/13 15:53:21</system_time><time>07:31:41</time><avg_loss>3.791334</avg_loss>
<system_time>2026/04/13 16:05:39</system_time><time>07:43:36</time><avg_loss>3.754240</avg_loss>
<system_time>2026/04/13 16:18:54</system_time><time>07:56:28</time><avg_loss>3.757104</avg_loss>
<system_time>2026/04/13 16:36:52</system_time><time>08:14:01</time><avg_loss>3.652204</avg_loss>
<system_time>2026/04/13 16:51:41</system_time><time>08:28:28</time><avg_loss>3.709507</avg_loss>
<system_time>2026/04/13 17:09:45</system_time><time>08:46:07</time><avg_loss>3.650548</avg_loss>
<system_time>2026/04/13 17:28:49</system_time><time>09:04:45</time><avg_loss>3.640951</avg_loss>
<system_time>2026/04/13 17:49:26</system_time><time>09:24:57</time><avg_loss>3.556670</avg_loss>
<system_time>2026/04/13 18:04:49</system_time><time>09:39:59</time><avg_loss>3.561674</avg_loss>
<system_time>2026/04/13 18:21:09</system_time><time>09:55:57</time><avg_loss>3.559712</avg_loss>
<system_time>2026/04/13 18:43:37</system_time><time>10:18:00</time><avg_loss>3.552032</avg_loss>
<system_time>2026/04/13 19:01:25</system_time><time>10:35:26</time><avg_loss>3.512154</avg_loss>
<system_time>2026/04/13 19:28:04</system_time><time>10:49:31</time><avg_loss>3.547192</avg_loss>
<system_time>2026/04/13 19:44:16</system_time><time>11:05:16</time><avg_loss>3.519665</avg_loss>
<system_time>2026/04/13 20:00:56</system_time><time>11:21:31</time><avg_loss>3.491851</avg_loss>
<system_time>2026/04/13 20:17:37</system_time><time>11:37:48</time><avg_loss>3.479161</avg_loss>
<system_time>2026/04/13 20:37:42</system_time><time>11:57:30</time><avg_loss>3.469022</avg_loss>
<system_time>2026/04/13 20:53:49</system_time><time>12:13:10</time><avg_loss>3.493463</avg_loss>
<system_time>2026/04/14 07:38:45</system_time><time>12:31:07</time><avg_loss>3.469069</avg_loss>
<system_time>2026/04/14 07:57:31</system_time><time>12:49:32</time><avg_loss>3.425871</avg_loss>
<system_time>2026/04/14 08:13:25</system_time><time>13:05:06</time><avg_loss>3.411448</avg_loss>
<system_time>2026/04/14 08:29:17</system_time><time>13:20:38</time><avg_loss>3.389525</avg_loss>
<system_time>2026/04/14 08:43:59</system_time><time>13:35:01</time><avg_loss>3.354482</avg_loss>
<system_time>2026/04/14 08:58:31</system_time><time>13:49:11</time><avg_loss>3.382202</avg_loss>
<system_time>2026/04/14 09:08:28</system_time><time>13:58:51</time><avg_loss>3.371330</avg_loss>
<system_time>2026/04/14 09:20:15</system_time><time>14:10:19</time><avg_loss>3.362531</avg_loss>
<system_time>2026/04/14 09:37:15</system_time><time>14:26:59</time><avg_loss>3.336739</avg_loss>
<system_time>2026/04/14 09:49:44</system_time><time>14:39:09</time><avg_loss>3.302422</avg_loss>
<system_time>2026/04/14 10:06:02</system_time><time>14:55:05</time><avg_loss>3.341357</avg_loss>
<system_time>2026/04/14 10:26:27</system_time><time>15:15:11</time><avg_loss>3.300877</avg_loss>
<system_time>2026/04/14 10:40:19</system_time><time>15:28:42</time><avg_loss>3.325259</avg_loss>
<system_time>2026/04/14 10:56:28</system_time><time>15:44:30</time><avg_loss>3.308689</avg_loss>
<system_time>2026/04/14 11:12:10</system_time><time>15:59:52</time><avg_loss>3.259888</avg_loss>
<system_time>2026/04/14 11:29:25</system_time><time>16:16:49</time><avg_loss>3.271546</avg_loss>
<system_time>2026/04/14 13:45:26</system_time><time>16:32:08</time><avg_loss>3.264969</avg_loss>
<system_time>2026/04/14 14:03:55</system_time><time>16:50:13</time><avg_loss>3.226603</avg_loss>
<system_time>2026/04/14 14:19:40</system_time><time>17:05:39</time><avg_loss>3.222936</avg_loss>
<system_time>2026/04/14 14:33:39</system_time><time>17:19:19</time><avg_loss>3.207850</avg_loss>
<system_time>2026/04/14 14:49:24</system_time><time>17:34:46</time><avg_loss>3.222740</avg_loss>
<system_time>2026/04/14 15:03:25</system_time><time>17:48:27</time><avg_loss>3.246534</avg_loss>
<system_time>2026/04/14 15:19:13</system_time><time>18:03:52</time><avg_loss>3.176906</avg_loss>
<system_time>2026/04/14 15:37:08</system_time><time>18:21:27</time><avg_loss>3.195083</avg_loss>
<system_time>2026/04/14 15:52:29</system_time><time>18:36:29</time><avg_loss>3.181710</avg_loss>
<system_time>2026/04/14 16:05:04</system_time><time>18:48:44</time><avg_loss>3.203654</avg_loss>
<system_time>2026/04/14 16:23:29</system_time><time>19:06:49</time><avg_loss>3.119246</avg_loss>
<system_time>2026/04/14 16:40:05</system_time><time>19:23:03</time><avg_loss>3.176424</avg_loss>
<system_time>2026/04/14 18:33:08</system_time><time>19:36:52</time><avg_loss>2.963986</avg_loss>
<system_time>2026/04/14 18:48:49</system_time><time>19:52:07</time><avg_loss>2.933511</avg_loss>
<system_time>2026/04/14 19:05:06</system_time><time>20:08:03</time><avg_loss>2.951856</avg_loss>
<system_time>2026/04/14 19:25:22</system_time><time>20:27:55</time><avg_loss>2.930985</avg_loss>
<system_time>2026/04/14 19:41:12</system_time><time>20:43:24</time><avg_loss>2.893858</avg_loss>
<system_time>2026/04/14 19:56:04</system_time><time>20:57:52</time><avg_loss>2.957585</avg_loss>
<system_time>2026/04/14 20:12:34</system_time><time>21:13:58</time><avg_loss>2.897088</avg_loss>
